"ID","Player","Team","Position","Rookie","RkOv","Status","Age","Opponent","Salary","Contract","Score","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04vy1*","Zach Lofton","(N/A)","SG,G","","1240","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04846*","Shawn Long","(N/A)","PF,F,C","","1241","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*051pf*","Didi Louzada","(N/A)","SG,G","","1243","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04uq4*","Jordan Loyd","(N/A)","PG,G","","1244","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06vxz*","RJ Luis","(N/A)","SG,G,SF,F","","1245","FA","23","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*060me*","Iffe Lundberg","(N/A)","SG,G","","1246","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06cd0*","Seth Lundy","(N/A)","SF,F","","1247","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*042nj*","Timothe Luwawu-Cabarrot","(N/A)","SF,F","","1248","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04ewo*","Tyler Lydon","(N/A)","PF,F","","1249","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03ad5*","Trey Lyles","MIN","PF,F","","1250","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*043cl*","Sheldon Mac","(N/A)","SG,G","","1251","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*02wcx*","Scott Machado","LAL","PG,SG,G","","1252","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*027pj*","Shelvin Mack","(N/A)","PG,G","","1253","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04xgh*","Daryl Macon","(N/A)","PG,G","","1254","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04xhr*","J.P. Macura","CLE","SG,G","","1255","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qt2*","Yam Madar","(N/A)","PG,G","","1256","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0728o*","Gabe Madsen","(N/A)","PG,SG,G","","1257","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03zl4*","Josh Magette","(N/A)","PG,G","","1258","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qz2*","Will Magnay","(N/A)","SF,PF,F,C","","1259","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05xn9*","Denzel Mahoney","(N/A)","SG,G","","1260","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*063rs*","Makur Maker","(N/A)","C","","1261","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059y7*","Matur Maker","(N/A)","C","","1262","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03lgm*","Thon Maker","(N/A)","PF,F,C","","1263","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06hqq*","Hunter Maldonado","(N/A)","SG,G","","1264","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qsr*","Theo Maledon","(N/A)","PG,G","","1265","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qy9*","Karim Mane","(N/A)","PG,G","","1266","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06hpm*","Kyle Mangas","(N/A)","PG,G","","1267","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qu3*","Nico Mannion","(N/A)","PG,G","","1268","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03e7j*","Devyn Marble","(N/A)","SG,G,SF,F","","1270","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06z7s*","Augustas Marciulionis","(N/A)","PG,SG,G","","1271","FA","24","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*051q4*","Vanja Marinkovic","(N/A)","SG,G,SF,F","","1272","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03r7j*","Jarell Martin","(N/A)","PF,F,C","","1274","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06ceo*","Jaylen Martin","(N/A)","SF,F","","1275","FA","22","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*052c4*","Jeremiah Martin","(N/A)","PG,G","","1276","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*057a2*","Kelan Martin","(N/A)","SF,PF,F","","1277","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qym*","Kenyon Martin","(N/A)","SF,F","","1278","FA","25","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0725c*","Mitch Mascari","(N/A)","PG,SG,G","","1280","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04ewy*","Frank Mason","(N/A)","PG,G","","1281","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06moe*","Yauhen Massalski","(N/A)","PF,F","","1282","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059vz*","CJ Massinburg","(N/A)","PG,G","","1283","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04xgl*","Yante Maten","(N/A)","SF,F","","1284","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04jw2*","Mangok Mathiang","(N/A)","PF,F,C","","1285","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*055c5*","Dakota Mathias","(N/A)","SG,G","","1286","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06yb4*","Cameron Matthews","(N/A)","SF,PF,F","","1287","FA","24","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qyo*","Charles Matthews","(N/A)","PG,SG,G","","1288","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*055c6*","Luke Maye","(N/A)","PF,F","","1289","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06he0*","Matthew Mayer","(N/A)","PF,F","","1290","FA","26","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qtu*","Skylar Mays","(N/A)","SG,G","","1291","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03jvs*","James Michael McAdoo","(N/A)","PF,F","","1292","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04ll1*","Tahjere McCall","(N/A)","SG,G","","1293","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*042ny*","Patrick McCaw","(N/A)","SG,G,SF,F","","1294","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06hrm*","Caleb McConnell","(N/A)","SG,G","","1295","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04uq7*","Brandon McCoy","(N/A)","C","","1296","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06304*","Javante McCoy","(N/A)","PG,SG,G","","1297","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04lci*","Erik McCree","(N/A)","SF,F","","1298","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
